4306 炎洲 2018/11/09 48 1 B 13.35 53.15 18.16 24.50 86.03 18.16 24.50 False 61 2018/12/01 15.05 2018/12/18 
2393 億光 2018/11/13 66 1 B 27.80 60.99 21.53 8.84 71.75 21.53 8.84 False 78 2018/12/01 31.3 2018/12/04 
2883 開發金 2018/11/13 12 2 BB 10.05 73.87 26.44 49.54 71.75 26.44 49.54 False 23 2018/11/21 10.15 2018/12/04 
6226 光鼎 2018/11/15 60 1 B 8.92 76.76 42.90 21.32 55.51 42.90 21.32 False 87 2018/11/21 9.44 2018/12/06 
2312 金寶 2018/11/15 31 1 B 9.39 59.08 18.72 30.10 55.51 18.72 30.10 False 35 2018/11/21 10.4 2019/01/18 
3605 宏致 2018/11/16 56 1 B 20.80 82.96 54.63 23.70 54.61 54.63 23.70 False 123 2018/11/27 25 2018/12/21 
2328 廣宇 2018/11/17 33 1 B 19.45 87.02 33.06 31.02 51.55 33.06 31.02 False 54 2018/12/11 21 2018/12/25 
2607 榮運 2018/11/17 45 1 B 12.85 65.79 16.56 25.07 51.55 16.56 25.07 False 62 2018/12/22 13.65 2018/12/05 
6191 精成科 2018/11/17 34 1 B 12.70 64.73 37.79 34.93 51.55 37.79 34.93 False 54 2018/12/08 13.85 2018/12/04 
1514 亞力 2018/11/17 19 1 B 12.95 74.93 27.86 33.80 51.55 27.86 33.80 False 54 2018/11/27 13.9 2018/12/25 
4938 和碩 2018/11/20 28 1 B 52.50 54.90 20.48 16.16 52.15 20.48 16.16 False 37 2019/01/09 54.1 2018/12/04 
4906 正文 2018/11/20 121 1 B 20.45 86.57 39.08 22.89 52.15 39.08 22.89 False 372 2019/01/11 26.1 2019/01/17 
1611 中電 2018/11/20 40 1 B 8.75 26.51 20.52 15.95 52.15 20.52 15.95 False 62 2018/11/30 9.5 2018/12/04 
1907 永豐餘 2018/11/20 14 1 B 11.65 77.01 34.35 23.31 52.15 34.35 23.31 False 21 2018/12/27 11.8 2018/12/14 
2610 華航 2018/11/20 94 1 B 10.30 88.89 72.60 25.06 52.15 72.60 25.06 False 98 2018/11/21 11.2 2018/12/01 
2888 新光金 2018/11/20 36 1 B 10.30 66.18 26.26 45.10 52.15 26.26 45.10 False 36 2018/11/21 10.5 2018/12/04 
2605 新興 2018/11/21 53 1 B 15.60 70.03 21.98 16.14 45.47 21.98 16.14 False 66 2018/11/27 16.7 2018/12/18 
2236 百達-KY 2018/11/23 48 1 B 29.50 51.39 26.50 17.00 41.97 26.50 17.00 False 63 2018/12/05 32.85 2018/12/07 
2303 聯電 2018/11/24 45 1 B 11.15 75.68 9.12 33.03 35.23 9.12 33.03 False 47 2018/11/27 11.8 2018/12/05 
3669 圓展 2018/11/27 33 1 B 17.60 45.61 30.30 28.84 43.73 30.30 28.84 False 42 2018/12/04 17.6 2018/11/28 
2344 華邦電 2018/11/27 39 1 B 14.20 73.62 58.98 19.31 43.73 58.98 19.31 False 89 2018/12/04 15.95 2018/12/04 
1313 聯成 2018/11/27 35 1 B 11.80 67.25 17.89 20.93 43.73 17.89 20.93 False 39 2018/11/28 12.45 2018/12/05 
2484 希華 2018/11/28 56 1 B 17.35 49.63 47.77 30.15 51.42 47.77 30.15 False 71 2018/12/15 18.5 2018/12/04 
3015 全漢 2018/11/29 25 1 B 19.35 60.28 33.96 19.37 66.76 33.96 19.37 False 38 2019/01/08 19.35 2018/11/30 
2006 東和鋼鐵 2018/11/30 30 1 B 20.95 48.84 18.97 19.57 67.33 18.97 19.57 False 46 2018/12/25 21 2018/12/05 
4956 光鋐 2018/12/01 64 1 B 15.75 76.72 31.97 18.60 67.95 31.97 18.60 False 64 2018/12/01 16.5 2018/12/05 
2603 長榮海 2018/12/05 141 1 B 12.25 65.67 38.18 14.55 80.89 38.18 14.55 False 142 2018/12/11 12.85 2018/12/18 
1905 華紙 2018/12/06 32 1 B 9.44 74.42 40.17 18.49 71.60 40.17 18.49 False 32 2018/12/07 10.5 2018/12/12 
5531 鄉林 2018/12/06 57 1 B 10.65 65.90 47.25 34.65 71.60 47.25 34.65 False 64 2019/01/12 10.65 2018/12/07 
2030 彰源 2018/12/06 30 1 B 13.35 71.78 49.63 26.13 71.60 49.63 26.13 False 30 2018/12/07 13.35 2018/12/07 
1338 廣華-KY 2018/12/12 41 1 B 77.10 65.13 46.59 17.73 23.53 46.59 17.73 False 61 2019/01/18 79.7 2018/12/18 
2357 華碩 2018/12/18 54 1 B 209.50 30.67 17.78 25.10 36.94 17.78 25.10 False 60 2018/12/27 228 2019/01/18 
3059 華晶科 2018/12/29 40 1 B 24.70 14.93 57.32 27.70 46.29 57.32 27.70 False 100 2019/01/08 27.1 2019/01/11 
1802 台玻 2019/01/09 55 1 B 12.85 30.89 13.10 7.77 44.89 13.10 7.77 False 67 2019/01/12 13.3 2019/01/11 
6153 嘉聯益 2019/01/11 53 1 B 25.80 55.09 18.62 14.70 73.68 18.62 14.70 False 218 2019/01/17 25.8 2019/01/11 
1609 大亞 2019/01/17 13 1 B 10.00 51.18 18.69 12.88 88.38 18.69 12.88 False 14 2019/01/18 10 2019/01/17 
